Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,303,2000,1000
20,565,2000,1000
30,828,2000,1000
40,1091,2000,1000
50,1354,2000,1000
60,1615,2000,1000
70,1879,2000,978
80,2144,2000,17
90,2408,2000,0
100,2669,2000,0
110,2929,2180,0
120,3191,2332,0
130,3455,2459,0
140,3713,2571,0
150,3977,2666,0
160,4239,2750,0
170,4510,2823,0
180,4776,2889,0
190,5033,2947,0
200,5299,2998,0
