Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,10,12,1000
20,10,12,1000
30,10,12,1000
40,10,12,1000
50,10,12,1000
60,10,12,896
70,10,12,668
80,11,12,457
90,12,12,277
100,13,12,178
110,13,12,220
120,14,13,207
130,15,14,238
140,16,15,239
150,17,15,250
160,18,16,228
170,18,16,254
180,19,17,231
190,20,17,201
200,20,17,194
