Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,330,2000,1000
20,593,2000,1000
30,857,2000,1000
40,1118,2000,1000
50,1383,2000,1000
60,1647,2000,1000
70,1907,2000,931
80,2172,2000,5
90,2436,2000,0
100,2697,2000,0
110,2961,2182,0
120,3217,2333,0
130,3488,2459,0
140,3751,2569,0
150,4018,2667,0
160,4271,2749,0
170,4529,2821,0
180,4802,2888,0
190,5061,2946,0
200,5324,3000,0
