Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,73,1000,1000
20,140,1000,1000
30,206,1000,1000
40,273,1000,1000
50,340,1000,1000
60,406,1000,1000
70,473,1000,1000
80,540,1000,1000
90,607,1000,1000
100,673,1000,1000
110,739,1069,1000
120,806,1135,1000
130,872,1197,1000
140,941,1254,1000
150,1005,1305,1000
160,1071,1352,1000
170,1140,1395,1000
180,1206,1432,1000
190,1273,1466,1000
200,1341,1497,999
