Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,77,1000,1000
20,144,1000,1000
30,210,1000,1000
40,277,1000,1000
50,343,1000,1000
60,410,1000,1000
70,477,1000,1000
80,543,1000,1000
90,611,1000,1000
100,676,1000,1000
110,743,1090,1000
120,811,1166,1000
130,877,1231,1000
140,943,1286,1000
150,1010,1333,1000
160,1077,1374,1000
170,1146,1411,1000
180,1208,1444,1000
190,1277,1473,1000
200,1341,1499,999
