Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,136,1000,1000
20,247,1000,1000
30,359,1000,1000
40,471,1000,1000
50,582,1000,1000
60,694,1000,1000
70,806,1000,1000
80,918,1000,994
90,1029,1000,184
100,1143,1000,0
110,1252,1091,0
120,1365,1166,0
130,1475,1230,0
140,1588,1286,0
150,1696,1332,0
160,1811,1374,0
170,1920,1411,0
180,2031,1445,0
190,2144,1474,0
200,2254,1499,0
