Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,315,2000,1000
20,577,2000,1000
30,840,2000,1000
40,1102,2000,1000
50,1369,2000,1000
60,1627,2000,1000
70,1891,2000,969
80,2156,2000,10
90,2414,2000,0
100,2683,2000,0
110,2945,2138,0
120,3204,2270,0
130,3468,2396,0
140,3740,2508,0
150,3990,2612,0
160,4259,2707,0
170,4516,2790,0
180,4784,2865,0
190,5044,2935,0
200,5308,2994,0
