Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,12,24,1000
20,12,24,1000
30,12,24,1000
40,13,24,1000
50,15,24,1000
60,16,24,1000
70,17,24,978
80,19,24,896
90,20,24,764
100,21,24,629
110,23,26,612
120,25,28,579
130,27,29,574
140,28,30,556
150,30,31,513
160,32,32,506
170,33,33,456
180,35,35,456
190,36,35,392
200,37,35,372
