Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,163,1000,1000
20,275,1000,1000
30,387,1000,1000
40,498,1000,1000
50,611,1000,1000
60,722,1000,1000
70,835,1000,1000
80,945,1000,962
90,1055,1000,50
100,1168,1000,0
110,1280,1091,0
120,1393,1165,0
130,1502,1230,0
140,1615,1285,0
150,1727,1333,0
160,1840,1375,0
170,1947,1412,0
180,2061,1443,0
190,2174,1473,0
200,2284,1499,0
