Max_Bandwidth,ODU,OTN,# ODU better than OTN 
10,143,2000,1000
20,275,2000,1000
30,409,2000,1000
40,543,2000,1000
50,676,2000,1000
60,809,2000,1000
70,942,2000,1000
80,1075,2000,1000
90,1208,2000,1000
100,1343,2000,1000
110,1476,2139,1000
120,1607,2271,1000
130,1742,2396,1000
140,1875,2508,1000
150,2010,2615,1000
160,2142,2702,1000
170,2274,2788,1000
180,2408,2863,1000
190,2542,2934,1000
200,2677,2993,1000
